==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, lr=0.0003, lr_cent=0.5, max_epoch=60, print_freq=2, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_cent=0.0005, weight_decay=0.0005, width=128, workers=4)
==========
Currently using CPU (GPU is highly recommended)
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
start training
==> Start training
Epoch: [1][2/404]	Bacth_Time 13.918 (12.765)	Data 0.000 (2.688)	Loss 6.6186 (6.6206)	
Epoch: [1][4/404]	Bacth_Time 14.559 (13.870)	Data 0.008 (1.346)	Loss 6.8961 (6.7050)	
Epoch: [1][6/404]	Bacth_Time 14.781 (14.128)	Data 0.002 (0.898)	Loss 6.9457 (6.7422)	
Epoch: [1][8/404]	Bacth_Time 14.697 (14.229)	Data 0.008 (0.674)	Loss 7.0984 (6.7903)	
Epoch: [1][10/404]	Bacth_Time 15.690 (14.656)	Data 0.000 (0.541)	Loss 7.3319 (6.8408)	
Epoch: [1][12/404]	Bacth_Time 14.745 (14.758)	Data 0.002 (0.451)	Loss 7.1191 (6.9163)	
Epoch: [1][14/404]	Bacth_Time 14.760 (14.833)	Data 0.003 (0.387)	Loss 6.5742 (6.9246)	
Epoch: [1][16/404]	Bacth_Time 16.968 (14.990)	Data 0.000 (0.339)	Loss 7.0104 (6.9396)	
Epoch: [1][18/404]	Bacth_Time 22.069 (15.448)	Data 0.004 (0.302)	Loss 6.8209 (6.9397)	
Epoch: [1][20/404]	Bacth_Time 18.590 (15.939)	Data 0.004 (0.272)	Loss 6.7437 (6.9159)	
Epoch: [1][22/404]	Bacth_Time 15.331 (15.949)	Data 0.008 (0.248)	Loss 6.6798 (6.9035)	
Epoch: [1][24/404]	Bacth_Time 18.569 (15.992)	Data 0.000 (0.228)	Loss 6.6271 (6.8788)	
Epoch: [1][26/404]	Bacth_Time 19.377 (16.085)	Data 0.008 (0.211)	Loss 6.6393 (6.8673)	
Epoch: [1][28/404]	Bacth_Time 21.882 (16.437)	Data 0.000 (0.196)	Loss 6.7855 (6.8580)	
Epoch: [1][30/404]	Bacth_Time 16.677 (16.622)	Data 0.000 (0.183)	Loss 6.5673 (6.8344)	
Epoch: [1][32/404]	Bacth_Time 17.738 (16.629)	Data 0.002 (0.172)	Loss 6.8361 (6.8310)	
Epoch: [1][34/404]	Bacth_Time 14.643 (16.616)	Data 0.008 (0.162)	Loss 6.8271 (6.8283)	
Epoch: [1][36/404]	Bacth_Time 19.251 (16.702)	Data 0.002 (0.153)	Loss 6.6187 (6.8221)	
Epoch: [1][38/404]	Bacth_Time 16.377 (16.728)	Data 0.000 (0.145)	Loss 6.3716 (6.8028)	
Epoch: [1][40/404]	Bacth_Time 18.068 (16.733)	Data 0.000 (0.138)	Loss 6.4944 (6.7899)	
Epoch: [1][42/404]	Bacth_Time 22.554 (16.970)	Data 0.008 (0.132)	Loss 6.5712 (6.7813)	
Epoch: [1][44/404]	Bacth_Time 20.025 (17.101)	Data 0.003 (0.126)	Loss 6.8623 (6.7754)	
Epoch: [1][46/404]	Bacth_Time 16.259 (17.175)	Data 0.000 (0.121)	Loss 6.6546 (6.7724)	
Epoch: [1][48/404]	Bacth_Time 19.936 (17.211)	Data 0.002 (0.116)	Loss 6.8493 (6.7678)	
Epoch: [1][50/404]	Bacth_Time 21.169 (17.349)	Data 0.002 (0.111)	Loss 6.6204 (6.7612)	
Epoch: [1][52/404]	Bacth_Time 19.544 (17.421)	Data 0.004 (0.107)	Loss 6.6069 (6.7549)	
Epoch: [1][54/404]	Bacth_Time 17.187 (17.425)	Data 0.004 (0.103)	Loss 6.6829 (6.7514)	
Epoch: [1][56/404]	Bacth_Time 19.307 (17.467)	Data 0.004 (0.100)	Loss 6.5590 (6.7454)	
Epoch: [1][58/404]	Bacth_Time 23.049 (17.644)	Data 0.006 (0.096)	Loss 6.5188 (6.7405)	
Epoch: [1][60/404]	Bacth_Time 21.550 (17.756)	Data 0.008 (0.093)	Loss 6.4887 (6.7403)	
Epoch: [1][62/404]	Bacth_Time 20.826 (17.818)	Data 0.003 (0.090)	Loss 6.8070 (6.7369)	
Epoch: [1][64/404]	Bacth_Time 21.507 (17.960)	Data 0.002 (0.088)	Loss 6.5606 (6.7264)	
Epoch: [1][66/404]	Bacth_Time 22.415 (18.075)	Data 0.003 (0.085)	Loss 6.6321 (6.7225)	
Epoch: [1][68/404]	Bacth_Time 20.184 (18.144)	Data 0.003 (0.083)	Loss 6.4449 (6.7170)	
Epoch: [1][70/404]	Bacth_Time 20.338 (18.204)	Data 0.003 (0.081)	Loss 6.5115 (6.7109)	
Epoch: [1][72/404]	Bacth_Time 17.653 (18.201)	Data 0.003 (0.078)	Loss 6.4600 (6.7025)	
Epoch: [1][74/404]	Bacth_Time 20.152 (18.246)	Data 0.004 (0.076)	Loss 6.4566 (6.7012)	
Epoch: [1][76/404]	Bacth_Time 17.735 (18.262)	Data 0.004 (0.074)	Loss 6.6297 (6.6992)	
Epoch: [1][78/404]	Bacth_Time 19.168 (18.286)	Data 0.004 (0.073)	Loss 6.6207 (6.6965)	
Epoch: [1][80/404]	Bacth_Time 20.672 (18.320)	Data 0.003 (0.071)	Loss 6.4121 (6.6931)	
Epoch: [1][82/404]	Bacth_Time 17.885 (18.317)	Data 0.004 (0.069)	Loss 6.2418 (6.6854)	
Epoch: [1][84/404]	Bacth_Time 23.952 (18.390)	Data 0.003 (0.068)	Loss 6.4135 (6.6793)	
Epoch: [1][86/404]	Bacth_Time 20.881 (18.461)	Data 0.003 (0.066)	Loss 6.7550 (6.6750)	
Epoch: [1][88/404]	Bacth_Time 19.675 (18.462)	Data 0.004 (0.065)	Loss 6.4401 (6.6745)	
Epoch: [1][90/404]	Bacth_Time 21.964 (18.518)	Data 0.004 (0.063)	Loss 6.5449 (6.6714)	
Epoch: [1][92/404]	Bacth_Time 20.549 (18.574)	Data 0.003 (0.062)	Loss 6.3560 (6.6665)	
Epoch: [1][94/404]	Bacth_Time 20.474 (18.590)	Data 0.003 (0.061)	Loss 6.8848 (6.6650)	
Epoch: [1][96/404]	Bacth_Time 19.521 (18.619)	Data 0.004 (0.060)	Loss 6.4317 (6.6603)	
Epoch: [1][98/404]	Bacth_Time 23.334 (18.699)	Data 0.004 (0.059)	Loss 6.4755 (6.6572)	
Epoch: [1][100/404]	Bacth_Time 20.901 (18.709)	Data 0.004 (0.057)	Loss 6.2090 (6.6503)	
Epoch: [1][102/404]	Bacth_Time 20.516 (18.740)	Data 0.004 (0.056)	Loss 6.4921 (6.6454)	
Epoch: [1][104/404]	Bacth_Time 21.317 (18.769)	Data 0.004 (0.055)	Loss 6.6025 (6.6423)	
Epoch: [1][106/404]	Bacth_Time 19.670 (18.800)	Data 0.004 (0.054)	Loss 6.3966 (6.6370)	
Epoch: [1][108/404]	Bacth_Time 24.042 (18.903)	Data 0.006 (0.054)	Loss 6.5543 (6.6369)	
Epoch: [1][110/404]	Bacth_Time 21.448 (18.993)	Data 0.004 (0.053)	Loss 6.1154 (6.6300)	
Epoch: [1][112/404]	Bacth_Time 17.752 (19.000)	Data 0.003 (0.052)	Loss 6.1109 (6.6245)	
Epoch: [1][114/404]	Bacth_Time 19.364 (19.010)	Data 0.003 (0.051)	Loss 6.5470 (6.6221)	
Epoch: [1][116/404]	Bacth_Time 19.614 (19.025)	Data 0.004 (0.050)	Loss 6.3200 (6.6184)	
